t = 0 ; Y = ((12,0,0),(0,0,0))
t = 0.19 ; Y = ((11.6672,0,0),(-3.39682,0,0))
t = 0.191 ; Y = ((11.6638,0,0),(-3.41248,0,0))
t = 0.192 ; Y = ((11.6604,0,0),(-3.4281,0,0))
t = 0.193 ; Y = ((11.657,0,0),(-3.44369,0,0))
t = 0.194 ; Y = ((11.6535,0,0),(-3.45924,0,0))
t = 0.195 ; Y = ((11.65,0,0),(-3.47476,0,0))
t = 0.196 ; Y = ((11.6466,0,0),(-3.49024,0,0))
t = 0.197 ; Y = ((11.6431,0,0),(-3.50569,0,0))
t = 0.198 ; Y = ((11.6395,0,0),(-3.5211,0,0))
t = 0.199 ; Y = ((11.636,0,0),(-3.53648,0,0))
t = 0.2 ; Y = ((11.6325,0,0),(-3.55182,0,0))
t = 0.201 ; Y = ((11.6289,0,0),(-3.56713,0,0))
t = 0.202 ; Y = ((11.6253,0,0),(-3.5824,0,0))
t = 0.203 ; Y = ((11.6217,0,0),(-3.59763,0,0))
t = 0.204 ; Y = ((11.6181,0,0),(-3.61283,0,0))
t = 0.205 ; Y = ((11.6145,0,0),(-3.628,0,0))
t = 0.206 ; Y = ((11.6109,0,0),(-3.64312,0,0))
t = 0.207 ; Y = ((11.6072,0,0),(-3.65821,0,0))
t = 0.208 ; Y = ((11.6036,0,0),(-3.67327,0,0))
t = 0.209 ; Y = ((11.5999,0,0),(-3.68828,0,0))
t = 0.21 ; Y = ((11.5962,0,0),(-3.70327,0,0))
t = 0.211 ; Y = ((11.5925,0,0),(-3.71821,0,0))
t = 0.212 ; Y = ((11.5888,0,0),(-3.73311,0,0))
t = 0.213 ; Y = ((11.585,0,0),(-3.74798,0,0))
t = 0.214 ; Y = ((11.5813,0,0),(-3.76281,0,0))
t = 0.215 ; Y = ((11.5775,0,0),(-3.77761,0,0))
t = 0.216 ; Y = ((11.5737,0,0),(-3.79236,0,0))
t = 0.217 ; Y = ((11.5699,0,0),(-3.80708,0,0))
t = 0.218 ; Y = ((11.5661,0,0),(-3.82176,0,0))
t = 0.219 ; Y = ((11.5623,0,0),(-3.8364,0,0))
t = 0.22 ; Y = ((11.5584,0,0),(-3.85101,0,0))
t = 0.221 ; Y = ((11.5546,0,0),(-3.86557,0,0))
t = 0.222 ; Y = ((11.5507,0,0),(-3.8801,0,0))
t = 0.223 ; Y = ((11.5468,0,0),(-3.89459,0,0))
t = 0.224 ; Y = ((11.5429,0,0),(-3.90903,0,0))
t = 0.225 ; Y = ((11.539,0,0),(-3.92344,0,0))
t = 0.226 ; Y = ((11.535,0,0),(-3.93781,0,0))
t = 0.227 ; Y = ((11.5311,0,0),(-3.95215,0,0))
t = 0.228 ; Y = ((11.5271,0,0),(-3.96644,0,0))
t = 0.229 ; Y = ((11.5232,0,0),(-3.98069,0,0))
t = 0.23 ; Y = ((11.5192,0,0),(-3.9949,0,0))
t = 0.231 ; Y = ((11.5152,0,0),(-4.00907,0,0))
t = 0.232 ; Y = ((11.5112,0,0),(-4.0232,0,0))
t = 0.233 ; Y = ((11.5071,0,0),(-4.03729,0,0))
t = 0.234 ; Y = ((11.5031,0,0),(-4.05135,0,0))
t = 0.235 ; Y = ((11.499,0,0),(-4.06536,0,0))
t = 0.236 ; Y = ((11.495,0,0),(-4.07933,0,0))
