t = 0 ; Y = ((1,0,0),(0,1,0))
t = 0.309 ; Y = ((0.952638,0.304106,0),(-0.304106,0.952638,0))
t = 0.31 ; Y = ((0.952334,0.305059,0),(-0.305059,0.952334,0))
t = 0.311 ; Y = ((0.952028,0.306011,0),(-0.306011,0.952028,0))
t = 0.312 ; Y = ((0.951722,0.306963,0),(-0.306963,0.951722,0))
t = 0.313 ; Y = ((0.951414,0.307914,0),(-0.307914,0.951414,0))
t = 0.314 ; Y = ((0.951106,0.308866,0),(-0.308866,0.951106,0))
t = 0.315 ; Y = ((0.950796,0.309816,0),(-0.309816,0.950796,0))
t = 0.316 ; Y = ((0.950486,0.310767,0),(-0.310767,0.950486,0))
t = 0.317 ; Y = ((0.950175,0.311717,0),(-0.311717,0.950175,0))
t = 0.318 ; Y = ((0.949863,0.312667,0),(-0.312667,0.949863,0))
t = 0.319 ; Y = ((0.94955,0.313617,0),(-0.313617,0.94955,0))
t = 0.32 ; Y = ((0.949235,0.314567,0),(-0.314567,0.949235,0))
t = 0.321 ; Y = ((0.94892,0.315516,0),(-0.315516,0.94892,0))
t = 0.322 ; Y = ((0.948604,0.316464,0),(-0.316464,0.948604,0))
t = 0.323 ; Y = ((0.948287,0.317413,0),(-0.317413,0.948287,0))
t = 0.324 ; Y = ((0.94797,0.318361,0),(-0.318361,0.94797,0))
t = 0.325 ; Y = ((0.947651,0.319309,0),(-0.319309,0.947651,0))
t = 0.326 ; Y = ((0.947331,0.320256,0),(-0.320256,0.947331,0))
t = 0.327 ; Y = ((0.94701,0.321203,0),(-0.321203,0.94701,0))
t = 0.328 ; Y = ((0.946689,0.32215,0),(-0.32215,0.946689,0))
t = 0.329 ; Y = ((0.946366,0.323097,0),(-0.323097,0.946366,0))
t = 0.33 ; Y = ((0.946042,0.324043,0),(-0.324043,0.946042,0))
t = 0.331 ; Y = ((0.945718,0.324989,0),(-0.324989,0.945718,0))
t = 0.332 ; Y = ((0.945392,0.325934,0),(-0.325934,0.945392,0))
t = 0.333 ; Y = ((0.945066,0.32688,0),(-0.32688,0.945066,0))
t = 0.334 ; Y = ((0.944739,0.327825,0),(-0.327825,0.944739,0))
